parcel_id,land_no,Land,Area,Grade,Frontage,Depth
0060018,1,1,2.00,1.25,,
0060018,2,5,0.60,1.00,,
0060019,1,1,2.00,1.50,,
0060019,2,5,2.15,0.50,,
006001901,1,1,2.00,1.00,,
006001901,2,5,0.40,1.00,,
006001902,1,1,2.00,1.25,,
006001902,2,5,1.16,0.90,,
006001904,1,1,2.00,1.50,,
006001904,2,5,4.38,0.80,,
006002,1,1,2.00,1.25,,
006002,2,5,23.00,1.00,,
0060021,1,1,1.00,1.00,,
0060023,1,1,0.44,1.00,,
0060025,1,1,1.75,1.25,,
0060026,1,1,2.00,1.25,,
0060027,1,1,1.60,1.00,,
0060028,1,1,2.00,1.00,,
0060028,2,5,1.90,0.80,,
0060029,1,1,1.00,1.00,,
006003,1,1,2.00,1.00,,
006003,2,5,0.70,1.00,,
0060031,1,1,0.60,1.00,,
0060032,1,1,0.90,1.00,,
0060033,1,1,2.00,1.00,,
0060033,2,5,1.40,1.00,,
0060035,1,1,1.00,1.00,,
0060036,1,1,2.00,0.80,,
0060036,2,5,0.10,0.80,,
0060037,1,6,4.00,0.40,,
0060038,1,1,2.00,0.80,,
0060038,2,5,0.07,0.80,,
0060039,1,1,2.00,1.00,,
0060039,2,5,8.30,1.00,,
006004,1,1,1.00,1.00,,
0060041,1,6,2.29,1.00,,
0060042,1,5,50.60,0.40,,
006004201,1,5,4.00,0.50,,
0060043,1,6,93.00,1.00,,
0060044,1,1,2.00,1.00,,
0060044,2,5,1.00,1.00,,
0060046,1,1,1.60,1.25,,
0060047,1,6,1.25,0.80,,
0060047,2,6,0.55,,,
0060048,1,1,2.00,1.00,,
0060048,2,5,0.51,1.00,,
0060049,1,1,1.50,1.10,,
006005,1,1,1.70,1.50,,
0060051,1,6,1.00,0.80,,
0060052,1,5,1.20,1.00,,
0060054,1,1,2.00,1.00,,
0060054,2,5,0.10,1.00,,
0090001,1,1,0.33,0.60,,
0090002,1,1,0.13,0.70,,
0090003,1,1,0.70,0.80,,
0090005,1,1,0.09,0.80,,
0090006,1,1,0.07,0.80,,
009000701,1,1,2.00,1.25,,
009000701,2,5,49.00,1.00,,
0090009,1,1,2.00,0.80,,
0090009,2,5,11.57,0.40,,
009001,1,1,1.25,1.00,,
0090011,1,1,0.63,1.00,,
0090012,1,1,0.50,1.00,,
009001201,1,6,34.75,0.60,,
009001202,1,1,2.00,2.00,,
009001202,2,5,0.63,1.00,,
009001203,1,1,2.00,2.00,,
009001203,2,5,0.17,1.00,,
009001204,1,1,2.00,1.75,,
009001204,2,5,1.49,1.00,,
009001205,1,5,1.67,1.00,,
009001206,1,1,2.00,2.00,,
009001206,2,5,0.12,1.00,,
0090013,1,1,2.00,1.50,,
0090013,2,5,197.90,1.00,,
009001302,1,1,2.00,1.25,,
009001302,2,5,23.15,1.00,,
009001303,1,1,2.00,4.00,,
009001303,2,5,15.17,1.50,,
009001303,3,5,27.00,,,
0090014,1,6,4.80,1.00,,
0090015,1,1,2.00,4.00,,
0090015,2,5,2.20,1.00,,
0090017,1,1,2.00,1.25,,
0090017,2,7,2.00,1.00,,
0090017,3,5,501.00,1.00,,
0090019,1,1,1.56,1.25,,
009002,1,1,1.36,0.80,,
009002001,1,1,2.00,1.00,,
009002001,2,5,1.00,1.00,,
009002002,1,1,2.00,1.00,,
009002002,2,5,1.00,1.00,,
009002003,1,1,2.00,1.50,,
009002003,2,5,5.90,1.00,,
0090021,1,1,2.00,1.25,,
0090021,2,5,2.00,1.00,,
0090022,1,1,2.00,1.50,,
0090022,2,5,34.00,1.00,,
009002201,1,6,160.00,1.25,,
0090023,1,1,1.84,1.25,,
0090024,1,1,2.00,1.25,,
0090024,2,5,0.70,1.00,,
0090025,1,1,2.00,1.25,,
